run,run_start,run_end,analysis_start,analysis_end,warmup_hours,tail_hours,length_days,clean_days,settled
0,2025-02-14 11:00:00,2025-03-05 18:30:00,2025-02-14 23:00:00,2025-03-05 18:00:00,12.0,0.5,19.31,18.79,True
1,2025-03-07 01:30:00,2025-03-17 15:30:00,2025-03-07 13:30:00,2025-03-17 15:00:00,12.0,0.5,10.58,10.06,True
2,2025-04-28 11:00:00,2025-05-17 08:30:00,2025-05-04 14:30:00,2025-05-17 07:00:00,147.5,1.5,18.9,12.69,True
3,2025-05-18 17:30:00,2025-06-06 14:30:00,2025-05-19 21:30:00,2025-06-06 11:00:00,28.0,3.5,18.88,17.56,True
4,2025-06-08 09:00:00,2025-06-29 07:00:00,2025-06-14 10:00:00,2025-06-29 06:00:00,145.0,1.0,20.92,14.83,True
5,2025-06-30 17:00:00,2025-07-18 10:30:00,2025-07-01 05:00:00,2025-07-18 10:00:00,12.0,0.5,17.73,17.21,True
6,2025-07-19 22:30:00,2025-08-14 09:00:00,2025-07-20 15:00:00,2025-08-14 08:30:00,16.5,0.5,25.44,24.73,True
7,2025-08-16 10:00:00,2025-09-06 20:30:00,2025-08-17 07:00:00,2025-09-06 20:00:00,21.0,0.5,21.44,20.54,True
8,2025-09-08 10:00:00,2025-10-02 09:30:00,2025-09-08 22:00:00,2025-09-30 12:00:00,12.0,45.5,23.98,21.58,True
9,2025-10-05 09:00:00,2025-10-27 06:30:00,2025-10-06 02:30:00,2025-10-27 05:30:00,17.5,1.0,21.9,21.12,True
10,2025-10-28 16:00:00,2025-11-18 07:00:00,2025-10-29 05:30:00,2025-11-18 06:00:00,13.5,1.0,20.62,20.02,True
11,2025-11-19 17:00:00,2025-12-12 11:30:00,2025-11-20 05:00:00,2025-12-04 08:00:00,12.0,195.5,22.77,14.12,True
12,2025-12-13 23:30:00,2026-01-01 18:30:00,2025-12-15 17:00:00,2026-01-01 18:00:00,41.5,0.5,18.79,17.04,True
13,2026-01-03 09:00:00,2026-01-28 09:00:00,2026-01-03 21:00:00,2026-01-28 08:00:00,12.0,1.0,25.0,24.46,True
14,2026-01-29 19:00:00,2026-02-15 13:00:00,2026-01-30 11:30:00,2026-02-15 12:30:00,16.5,0.5,16.75,16.04,True
