run,run_start,run_end,analysis_start,analysis_end,warmup_hours,tail_hours,length_days,clean_days,settled,pelt_used,warmup_method,decoke_method
0,2025-02-14 11:00:00,2025-03-05 18:30:00,2025-02-14 23:00:00,2025-03-03 09:00:00,12.0,57.5,19.31,16.42,True,True,pelt,feed_heuristic
1,2025-03-07 01:30:00,2025-03-17 15:30:00,2025-03-07 18:00:00,2025-03-14 19:00:00,16.5,68.5,10.58,7.04,True,True,pelt,feed_heuristic
2,2025-04-28 11:00:00,2025-05-17 08:30:00,2025-05-04 14:30:00,2025-05-12 14:30:00,147.5,114.0,18.9,8.0,True,True,pelt,feed_heuristic
3,2025-05-18 17:30:00,2025-06-06 14:30:00,2025-05-19 21:30:00,2025-05-24 03:30:00,28.0,323.0,18.88,4.25,True,True,pelt,feed_heuristic
4,2025-06-08 09:00:00,2025-06-29 07:00:00,2025-06-14 10:00:00,2025-06-28 20:00:00,145.0,11.0,20.92,14.42,True,True,pelt,feed_heuristic
5,2025-06-30 17:00:00,2025-07-18 10:30:00,2025-07-07 08:30:00,2025-07-16 18:30:00,159.5,40.0,17.73,9.42,True,True,pelt,feed_heuristic
6,2025-07-19 22:30:00,2025-08-14 09:00:00,2025-07-21 12:30:00,2025-08-11 19:30:00,38.0,61.5,25.44,21.29,True,True,pelt,feed_heuristic
7,2025-08-16 10:00:00,2025-09-06 20:30:00,2025-08-17 19:00:00,2025-09-05 16:30:00,33.0,28.0,21.44,18.9,True,True,pelt,feed_heuristic
8,2025-09-08 10:00:00,2025-10-02 09:30:00,2025-09-09 07:00:00,2025-09-30 11:00:00,21.0,46.5,23.98,21.17,True,True,pelt,feed_heuristic
9,2025-10-05 09:00:00,2025-10-27 06:30:00,2025-10-06 02:30:00,2025-10-26 05:30:00,17.5,25.0,21.9,20.12,True,True,pelt,feed_heuristic
10,2025-10-28 16:00:00,2025-11-18 07:00:00,2025-10-29 05:30:00,2025-11-16 12:30:00,13.5,42.5,20.62,18.29,True,True,pelt,feed_heuristic
11,2025-11-19 17:00:00,2025-12-12 11:30:00,2025-11-20 05:00:00,2025-12-04 08:00:00,12.0,195.5,22.77,14.12,True,True,pelt,feed_heuristic
12,2025-12-13 23:30:00,2026-01-01 18:30:00,2025-12-15 17:00:00,2026-01-01 06:00:00,41.5,12.5,18.79,16.54,True,True,pelt,feed_heuristic
13,2026-01-03 09:00:00,2026-01-28 09:00:00,2026-01-03 21:00:00,2026-01-22 18:00:00,12.0,135.0,25.0,18.88,True,True,pelt,feed_heuristic
14,2026-01-29 19:00:00,2026-02-15 13:00:00,2026-01-30 11:30:00,2026-02-14 22:30:00,16.5,14.5,16.75,15.46,True,True,pelt,feed_heuristic
