ID,furnace,role,Description,UoM,pass
01TI1005A.PV,1HA,tube_COT,H-A TUBE CUR COT 005,DEGC,A
01TI1010A.PV,1HA,tube_COT,H-A TUBE CUR COT 010,DEGC,A
01TI1014A.PV,1HA,tube_COT,H-A TUBE CUR COT 014,DEGC,A
01TI1001A.PV,1HA,tube_COT,H-A TUBE CUR COT 001,DEGC,A
01TI1008A.PV,1HA,tube_COT,H-A TUBE CUR COT 008,DEGC,A
01TI1009A.PV,1HA,tube_COT,H-A TUBE CUR COT 009,DEGC,A
01TI1011A.PV,1HA,tube_COT,H-A TUBE CUR COT 011,DEGC,A
01TI1013A.PV,1HA,tube_COT,H-A TUBE CUR COT 013,DEGC,A
01TI1003A.PV,1HA,tube_COT,H-A TUBE CUR COT 003,DEGC,A
01TI1004A.PV,1HA,tube_COT,H-A TUBE CUR COT 004,DEGC,A
01TI1017A.PV,1HA,tube_COT,H-A TUBE CUR COT 017,DEGC,A
01TI1018A.PV,1HA,tube_COT,H-A TUBE CUR COT 018,DEGC,A
01TI1007A.PV,1HA,tube_COT,H-A TUBE CUR COT 007,DEGC,A
01TI1020A.PV,1HA,tube_COT,H-A TUBE CUR COT 020,DEGC,A
01TI1016A.PV,1HA,tube_COT,H-A TUBE CUR COT 016,DEGC,A
01TI1002A.PV,1HA,tube_COT,H-A TUBE CUR COT 002,DEGC,A
01TI1006A.PV,1HA,tube_COT,H-A TUBE CUR COT 006,DEGC,A
01TI1012A.PV,1HA,tube_COT,H-A TUBE CUR COT 012,DEGC,A
01TI1015A.PV,1HA,tube_COT,H-A TUBE CUR COT 015,DEGC,A
01TI1021A.PV,1HA,tube_COT,H-A TUBE CUR COT 021,DEGC,A
01TI1019A.PV,1HA,tube_COT,H-A TUBE CUR COT 019,DEGC,A
01TI1113A.PV,1HA,tube_COT,,,C
01TI1123A.PV,1HA,tube_COT,,,C
01TI1124A.PV,1HA,tube_COT,,,C
01TI1169A.PV,1HA,tube_COT,,,D
01TI1177A.PV,1HA,tube_COT,,,D
01TI1178A.PV,1HA,tube_COT,,,D
01TI2002A.PV,1HB,tube_COT,H-B TUBE CUR COT 002,DEGC,A
01TI2025A.PV,1HB,tube_COT,,,A
01TI2031A.PV,1HB,tube_COT,,,A
